Date,Close
2023年12月29日,593
2023年12月28日,593
2023年12月27日,592
2023年12月26日,586
2023年12月25日,581
2023年12月22日,582
2023年12月21日,577
2023年12月20日,585
2023年12月19日,585
2023年12月18日,585
2023年12月15日,585
2023年12月14日,582
2023年12月14日,
2023年12月13日,577
2023年12月12日,578
2023年12月11日,574
2023年12月8日,570
2023年12月7日,566
2023年12月6日,570
2023年12月5日,570
2023年12月4日,574
2023年12月1日,579
2023年11月30日,577
2023年11月29日,574
2023年11月28日,575
2023年11月27日,568
2023年11月24日,575
2023年11月23日,578
2023年11月22日,577
2023年11月21日,585
2023年11月20日,577
2023年11月17日,580
2023年11月16日,583
2023年11月15日,581
2023年11月14日,572
2023年11月13日,571
2023年11月10日,557
2023年11月9日,557
2023年11月8日,556
2023年11月7日,555
2023年11月6日,550
2023年11月3日,549
2023年11月2日,547
2023年11月1日,528
2023年10月31日,529
2023年10月30日,532
2023年10月27日,533
2023年10月26日,531
2023年10月25日,544
2023年10月24日,544
2023年10月23日,544
2023年10月20日,556
2023年10月19日,546
2023年10月18日,540
2023年10月17日,551
2023年10月16日,545
2023年10月13日,553
2023年10月12日,550
2023年10月11日,544
2023年10月6日,532
2023年10月5日,528
2023年10月4日,520
2023年10月3日,529
2023年10月2日,533
2023年9月28日,523
2023年9月27日,522
2023年9月26日,519
2023年9月25日,525
2023年9月22日,522
2023年9月21日,527
2023年9月20日,535
2023年9月19日,538
2023年9月18日,540
2023年9月15日,558
2023年9月14日,550
2023年9月14日,
2023年9月13日,541
2023年9月12日,544
2023年9月11日,536
2023年9月8日,539
2023年9月7日,542
2023年9月6日,550
2023年9月5日,552
2023年9月4日,557
2023年9月1日,548
2023年8月31日,549
2023年8月30日,555
2023年8月29日,552
2023年8月28日,549
2023年8月25日,546
2023年8月24日,564
2023年8月23日,552
2023年8月22日,541
2023年8月21日,537
2023年8月18日,539
2023年8月17日,544
2023年8月16日,542
2023年8月15日,542
2023年8月14日,541
2023年8月11日,546
2023年8月10日,551
2023年8月9日,554
2023年8月8日,552
2023年8月7日,558
2023年8月4日,554
2023年8月2日,561
2023年8月1日,567
2023年7月31日,565
2023年7月28日,567
2023年7月27日,569
2023年7月26日,566
2023年7月25日,569
2023年7月24日,558
2023年7月21日,560
2023年7月20日,579
2023年7月19日,581
2023年7月18日,581
2023年7月17日,591
2023年7月14日,591
2023年7月13日,585
2023年7月12日,578
2023年7月11日,577
2023年7月10日,565
2023年7月7日,565
2023年7月6日,565
2023年7月5日,582
2023年7月4日,585
2023年7月3日,579
2023年6月30日,576
2023年6月29日,573
2023年6月28日,574
2023年6月27日,572
2023年6月26日,574
2023年6月21日,581
2023年6月20日,583
2023年6月19日,583
2023年6月16日,589
2023年6月15日,591
2023年6月15日,
2023年6月14日,590
2023年6月13日,593
2023年6月12日,574
2023年6月9日,565
2023年6月8日,559
2023年6月7日,568
2023年6月6日,560
2023年6月5日,555
2023年6月2日,562
2023年6月1日,551
2023年5月31日,558
2023年5月30日,566
2023年5月29日,568
2023年5月26日,566
2023年5月25日,543
2023年5月24日,525
2023年5月23日,530
2023年5月22日,531
2023年5月19日,532
2023年5月18日,530
2023年5月17日,519
2023年5月16日,505
2023年5月15日,495.5
2023年5月12日,496
2023年5月11日,499
2023年5月10日,503
2023年5月9日,510
2023年5月8日,504
2023年5月5日,500
2023年5月4日,498
2023年5月3日,496
2023年5月2日,501
2023年4月28日,502
2023年4月27日,493.5
2023年4月26日,491.5
2023年4月25日,498
2023年4月24日,507
2023年4月21日,511
2023年4月20日,513
2023年4月19日,510
2023年4月18日,515
2023年4月17日,520
2023年4月14日,516
2023年4月13日,510
2023年4月12日,520
2023年4月11日,524
2023年4月10日,529
2023年4月7日,531
2023年4月6日,530
2023年3月31日,533
2023年3月30日,535
2023年3月29日,530
2023年3月28日,525
2023年3月27日,531
2023年3月24日,539
2023年3月23日,538
2023年3月22日,533
2023年3月21日,517
2023年3月20日,512
2023年3月17日,518
2023年3月16日,505
2023年3月16日,
2023年3月15日,511
2023年3月14日,510
2023年3月13日,516
2023年3月10日,513
2023年3月9日,522
2023年3月8日,521
2023年3月7日,524
2023年3月6日,521
2023年3月3日,516
2023年3月2日,519
2023年3月1日,522
2023年2月24日,511
2023年2月23日,518
2023年2月22日,507
2023年2月21日,516
2023年2月20日,517
2023年2月17日,518
2023年2月16日,528
2023年2月15日,525
2023年2月14日,545
2023年2月13日,541
2023年2月10日,545
2023年2月9日,540
2023年2月8日,540
2023年2月7日,523
2023年2月6日,526
2023年2月3日,542
2023年2月2日,540
2023年2月1日,530
2023年1月31日,522
2023年1月30日,543
2023年1月17日,503
2023年1月16日,505
2023年1月13日,500
2023年1月12日,486.5
2023年1月11日,484.5
2023年1月10日,486
2023年1月9日,481
2023年1月6日,458.5
2023年1月5日,458.5
2023年1月4日,449.5
2023年1月3日,453
